city,provider,locationid,name,lat,lng,parameters,n_days,first_day,last_day
NYC,AirNow,626,Bronx - IS52,40.816101,-73.902199,"o3,pm10,pm25",2447,20180101.csv,20260514.csv
NYC,AirNow,628,Maspeth,40.7269,-73.8933,pm25,2368,20180101.csv,20260514.csv
NYC,AirNow,631,Queens,40.7375,-73.8244,"o3,pm25",2494,20180101.csv,20260514.csv
NYC,AirNow,648,Bklyn - PS 314,40.641819,-74.018707,pm25,2648,20180101.csv,20260514.csv
NYC,AirNow,664,Bklyn - PS274,40.694401,-73.928596,pm25,2065,20180101.csv,20260514.csv
NYC,AirNow,665,Bronx - IS74,40.814701,-73.886703,pm25,1731,20190617.csv,20260514.csv
NYC,AirNow,666,Pfizer Lab,40.868,-73.8782,o3,2445,20180102.csv,20260514.csv
NYC,AirNow,857,Fort Lee Near Road,40.85355,-73.9661,"co,no2,pm25",2644,20180101.csv,20260514.csv
NYC,AirNow,928,Jersey City FH,40.725452,-74.052292,pm25,2442,20180101.csv,20260514.csv
NYC,AirNow,971,Elizabeth Trailer,40.64144099999999,-74.208366,"co,no2,pm25,so2",2643,20180101.csv,20260514.csv
NYC,AirNow,984,Leonia,40.870438,-73.991997,o3,1864,20180213.csv,20260514.csv
NYC,AirNow,1122,Jersey City,40.731689,-74.066566,"co,no2,so2",2513,20180101.csv,20260514.csv
NYC,AirNow,1496,Bayonne,40.67025,-74.126083,"no2,o3,so2",2611,20180101.csv,20260514.csv
NYC,AirNow,387315,Union City High Scho,40.770908,-74.036218,pm25,1187,20221122.csv,20260514.csv
NYC,AirNow,391818,Paterson,40.918381,-74.168092,pm25,1171,20221129.csv,20260514.csv
NYC,AirNow,496096,Port Richmond,40.63306,-74.137156,pm25,1064,20230327.csv,20260514.csv
TOR,AirGradient,1612333,AQ-Toronto-Annex,43.6692007,-79.408185,"pm10,pm25",777,20231125.csv,20260514.csv
TOR,AirGradient,4410145,Downtown Toronto West End,43.644,-79.406,pm25,365,20250515.csv,20260514.csv
TOR,AirGradient,4811068,North York,43.765533,-79.426576,pm25,210,20250918.csv,20260514.csv
TOR,AirGradient,5480157,Toronto West Harbourfront ,43.633542,-79.399732,pm25,154,20250918.csv,20260514.csv
TOR,AirGradient,5523971,Hillcrest Village,43.8097154,-79.3542192,pm25,247,20250908.csv,20260514.csv
TOR,AirGradient,5547422,Scarborough Agincourt North,43.80433649658915,-79.261546668023,pm25,139,20250918.csv,20260514.csv
TOR,AirGradient,6139385,"Woodmount, North of Mortimer",43.69235597941228,-79.31825147413163,pm25,174,20251122.csv,20260514.csv
TOR,AirGradient,6291303,MPL,43.7325,-79.3958,pm25,45,20260331.csv,20260514.csv
TOR,AirGradient,6301142,Leaside,43.69057,-79.3656,pm25,37,20260408.csv,20260514.csv
TOR,AirGradient,6311723,Osler & Davenport,43.672284992501275,-79.46088481178965,pm25,28,20260417.csv,20260514.csv
TOR,AirGradient,6327850,Keewatin (Toronto Midtown),43.712417,-79.397435,pm25,16,20260429.csv,20260514.csv
TOR,AirNow,7570,Toronto Downtown,43.64543,-79.38908,"no2,o3,pm25",1841,20200406.csv,20260514.csv
TOR,AirNow,1274949,Toronto North,43.78043,-79.467397,"co,no2,o3,pm25,so2",1029,20230716.csv,20260514.csv
TOR,AirNow,1274950,Toronto West,43.709444,-79.5435,"co,no2,o3,pm25,so2",1032,20230716.csv,20260514.csv
TOR,AirNow,1275803,Toronto East,43.747917,-79.274056,"no2,o3,pm25",1033,20230716.csv,20260514.csv
